date,regime_label,proba_up,position,turnover,cost,market_return,strategy_return,equity,benchmark_equity
2023-07-24,Bull,0.381146103143692,0,0,0.0,0.0028107195758387046,0.0,1.0477268601104286,1.8039369284568072
2023-07-25,Bull,0.3706815838813782,0,0,0.0,-0.00015545097867591856,-0.0,1.0477268601104286,1.8036565264907538
2023-07-26,Bull,0.32543906569480896,0,0,0.0,-0.006445393055197076,-0.0,1.0477268601104286,1.7920686356130167
2023-07-27,Bull,0.3349629044532776,0,0,0.0,0.009829375810433848,0.0,1.0477268601104286,1.8097704078730084
2023-07-28,Bull,0.3520418405532837,0,0,0.0,0.0014676354365687912,0.0,1.0477268601104286,1.8124284410904203
2023-07-31,Bull,0.6895010471343994,1,1,0.0007,-0.0026686453076827116,-0.0033686453076827117,1.0442033779521758,1.8075981604551072
2023-08-01,Bull,0.7522133588790894,1,0,0.0,-0.013936200638336184,-0.013936200638336184,1.0297520821394526,1.7825818309939823
2023-08-02,Low Volatility,0.6437662243843079,1,0,0.0,-0.0025512254502915274,-0.0025512254502915274,1.0271283007720362,1.7780398591201894
2023-08-03,Bull,0.7667044997215271,1,0,0.0,-0.0053141693739379705,-0.0053141693739379705,1.0216844446111932,1.768616116016217
2023-08-04,Bull,0.7343966960906982,1,0,0.0,0.008983618964856572,0.008983618964856572,1.0309042198305964,1.7845762719382234
2023-08-07,Bull,0.674168050289154,1,0,0.0,-0.004227205100058866,-0.004227205100058866,1.0265555740392793,1.7770484241081663
2023-08-08,Bull,0.648377001285553,1,0,0.0,-0.007063619102045116,-0.007063619102045116,1.0193299261329178,1.764540259377604
2023-08-09,Bull,0.8265025019645691,1,0,0.0,0.00025068252108086326,0.00025068252108086326,1.0195854863595166,1.7649826542263847
2023-08-10,Bull,0.7975355386734009,1,0,0.0,-0.0010702648992294865,-0.0010702648992294865,1.0184948435441716,1.7630946657479356
2023-08-11,Bull,0.8353232741355896,1,0,0.0,0.005734004879419051,0.005734004879419051,1.024351673445207,1.773233298871276
2023-08-14,Bull,0.774149477481842,1,0,0.0,-0.011618139396096483,-0.011618139396096483,1.0125194800419588,1.7527508416398079
2023-08-15,Low Volatility,0.6550425887107849,1,0,0.0,-0.007584081792624527,-0.007584081792624527,1.004869495211833,1.7395081163255464
2023-08-16,Low Volatility,0.655036211013794,1,0,0.0,-0.0077428113775290805,-0.0077428113775290805,0.9971190241897321,1.7260914415110236
2023-08-17,Low Volatility,0.7388535737991333,1,0,0.0,-0.00014871788395720285,-0.00014871788395720285,0.9969707457844997,1.7258347599313693
2023-08-18,Low Volatility,0.6398042440414429,1,0,0.0,0.006855634859799785,0.006855634859799785,1.003829095492476,1.7377071025972282
2023-08-21,Low Volatility,0.6808819770812988,1,0,0.0,-0.0027813310465456837,-0.0027813310465456837,1.0010409935783144,1.7328806789353135
2023-08-22,Low Volatility,0.728748619556427,1,0,0.0,0.010984330710791359,0.010984330710791359,1.012097371193405,1.752020138029507
2023-08-23,Low Volatility,0.8363668918609619,1,0,0.0,-0.01354935398400801,-0.01354935398400801,0.9984765904152472,1.7284414954025842
2023-08-24,High Volatility,0.7188060879707336,1,0,0.0,0.006695501060295156,0.006695501060295156,1.0051843222390204,1.7400531066667206
2023-08-25,Low Volatility,0.7446745038032532,1,0,0.0,0.006245078594196461,0.006245078594196461,1.011481419801572,1.7509538777335576
2023-08-28,Low Volatility,0.8547711968421936,1,0,0.0,0.014404068712056505,0.014404068712056505,1.026156302961629,1.7763572544751978
2023-08-29,High Volatility,0.6145777702331543,1,0,0.0,0.003825854181192944,0.003825854181192944,1.0300897469375434,1.7831663553124888
2023-08-30,Bull,0.5093799233436584,1,0,0.0,-0.0015982129743398576,-0.0015982129743398576,1.028444759009925,1.7803187518525523
2023-08-31,Bull,0.7500274777412415,1,0,0.0,0.001797512765518541,0.001797512765518541,1.0302950640681545,1.7835217754111388
2023-09-01,Bull,0.6902989149093628,1,0,0.0,-0.004202997821381205,-0.004202997821381205,1.0259738236019216,1.7760413683538803
2023-09-05,Bull,0.7297472953796387,1,0,0.0,-0.006996014491432261,-0.006996014491432261,1.0188211451586908,1.763659519502111
2023-09-06,High Volatility,0.41629019379615784,0,1,0.0007,-0.003216433115732967,-0.0007,1.018108219910028,1.7579959397641036
2023-09-07,Bull,0.7283354997634888,1,1,0.0007,0.0014256060622570594,0.0007256060622570594,1.0188472334903709,1.760503936716323
2023-09-08,Bull,0.7376845479011536,1,0,0.0,0.006700951498135517,0.006700951498135517,1.0256974050872016,1.7723406023782482
2023-09-11,Bull,0.6462356448173523,1,0,0.0,-0.005712169023003997,-0.005712169023003997,1.0198551500026551,1.7622455530543082
2023-09-12,Bull,0.8519846200942993,1,0,0.0,0.0012408621175346041,0.0012408621175346041,1.021121435103793,1.7644336140631418
2023-09-13,Bull,0.5745173096656799,1,0,0.0,0.00839458553366625,0.00839458553366625,1.029729405955244,1.779307646276198
2023-09-14,Bull,0.4815668761730194,0,1,0.0007,-0.012234145842493929,-0.0007,1.0290088475959238,1.7576719539986494
2023-09-15,Low Volatility,0.7759106159210205,1,1,0.0007,0.0007210276941755188,2.1027694175518785e-05,1.029030485506772,1.7589397411546581
2023-09-18,Bull,0.7211758494377136,1,0,0.0,-0.0021533273615331264,-0.0021533273615331264,1.0268170300089046,1.7551562430996333
2023-09-19,Bull,0.6490970253944397,1,0,0.0,-0.009439204206291041,-0.009439204206291041,1.0171702947578907,1.738666910427385
2023-09-20,Bull,0.6558560729026794,1,0,0.0,-0.016536918318488084,-0.016536918318488084,1.0004877517818143,1.7101511490020174
